,TITULAR,DESCRIPCIÓN,LINKS
16,¿Habrá saludo en la Casa Rosada tras el título de la selección argentina en Qatar 2022?,Se viene desarrollando un operativo de seguridad previo a la llegada de la selección argentina. Se espera que asistan más de un millón de persona...,https://elcomercio.pe/respuestas/habra-saludo-en-la-casa-rosada-tras-el-titulo-de-la-seleccion-argentina-en-qatar-2022-alberto-fernandez-tdex-revtli-noticia/
17,"Conoce los horarios del toque de queda en Arequipa, Andahuaylas, Cusco y otras provincias hoy, viernes 16 ","La inmovilización obligatoria fue decretada por el Gobierno a causa de la conflictividad social. Entérate, en la siguiente nota, todos los detall...",https://elcomercio.pe/respuestas/cuando/horarios-del-toque-de-queda-en-arequipa-andahuaylas-cusco-y-otras-provincias-cuando-inicia-y-mas-de-las-restricciones-estado-de-emergencia-en-el-peru-tdex-revtli-noticia/
18,Brunella Horna suspende su esperada boda por la coyuntura política,"¡Brunella no se casa! A pocos días de su boda soñada con el hijo de César Acuña, Brunella Horna le puso un alto a lo preparativos en señal de lut...",https://elcomercio.pe/viu/actitud-viu/brunella-horna-brunella-horna-suspende-su-boda-por-la-coyuntura-politica-famosas-peruanas-politica-boda-novia-noticia-noticia/
19,Solo es un punto de partida,“La prioridad es edificar la confianza y tenemos una única oportunidad”.,https://elcomercio.pe/opinion/colaboradores/solo-es-un-punto-de-partida-por-adriana-urrutia-noticia/
20,El gobierno no calculó la estampida que en sus aliados provocarían sus amenazas de cierre.,"En su videocolumna “Cuéntame otra” de este viernes 2 de diciembre, Fernando Vivas se refiere a la tercera moción de vacancia contra el presidente...",https://elcomercio.pe/el-comercio-tv/cuentame-otra/el-gobierno-no-calculo-la-estampida-que-en-sus-aliados-provocarian-sus-amenazas-de-cierre-cuentame-otra-narp-noticia/
21,Hace 30 años los peruanos votaron para establecer el CCD; Fernando Belaunde Terry se abstuvo en señal de protesta,"El 22 de noviembre de 1992 se realizaron los comicios para la conformación de la asamblea nacional, cuyo objetivo fue elaborar la Constitución de...",https://elcomercio.pe/archivo-elcomercio/hace-30-anos-los-peruanos-votaron-para-establecer-el-ccd-fernando-belaunde-terry-se-abstuvo-en-senal-de-protesta-elecciones-dictadura-alberto-fujimori-nnsp-noticia/
22,"Esposa de Robert López, director ejecutivo de la Autoridad para Reconstrucción con Cambios, obtuvo contratos con el gobierno","Durante el 2022, Margory Goicochea Suelpres, esposa de Robert López López, director ejecutivo de la Autoridad para la Reconstrucción con Cambios ...",https://elcomercio.pe/el-comercio-tv/reportajes/esposa-de-robert-lopez-director-ejecutivo-de-la-autoridad-para-reconstruccion-con-cambios-obtuvo-contratos-con-el-gobierno-reportajes-noticia/
23,La vulneración de las libertades,"“Cuando la justicia se imparte de manera sesgada, deja de ser justicia y se convierte en un arma”.",https://elcomercio.pe/opinion/columnistas/la-vulneracion-de-las-libertades-por-maria-cecilia-villegas-noticia/
24,"El príncipe de Holanda que combatió a los nazis visitó Perú, se vistió de chalán y toreó en la Hacienda Huando","En gira oficial, hace 70 años tuvimos entre nosotros al soberano holandés, un notable jinete, diestro tirador y experto piloto de aviación.",https://elcomercio.pe/archivo-elcomercio/principe-de-holanda-que-combatio-a-los-nazis-visito-peru-se-vistio-de-chalan-y-toreo-en-la-hacienda-huando-en-1952-principe-bernardo-manuel-odria-paises-bajos-nnsp-noticia/
25,La acusación por traición a la patria es una bomba que nos puede explotar a todos en la cara.,"En su videocolumna “Cuéntame otra” de este martes, Fernando Vivas se refiere al informe que debatirá la Comisión Permanente del Congreso con el o...",https://elcomercio.pe/el-comercio-tv/cuentame-otra/la-acusacion-por-traicion-a-la-patria-es-una-bomba-que-nos-puede-explotar-a-todos-en-la-cara-cuentame-otra-noticia/
26,Empantanados,“El desempeño de la oposición ha sido deplorable y su baja legitimidad resulta siendo funcional a Pedro Castillo”.,https://elcomercio.pe/opinion/mirada-de-fondo/empantanados-por-fernando-tuesta-soldevilla-noticia/
27,"2008, el año en que Estados Unidos eligió a su primer presidente negro y el Perú perdió a Yma Súmac",Este año el decano informó también sobre la boda del tenor Juan Diego Flórez y el fallecimiento del actor norteamericano Paul Newman.,https://elcomercio.pe/archivo-elcomercio/2008-el-ano-en-que-estados-unidos-eligio-a-su-primer-presidente-negro-y-el-peru-perdio-a-yma-sumac-barack-obama-lehman-brothers-juan-diego-florez-nnsp-noticia/
28,Problemas de representación,“Algunos llaman la atención sobre la existencia de un problema social y estructural que estaría en la base de esto: nuestros niveles de informali...,https://elcomercio.pe/opinion/columnistas/problemas-de-representacion-por-martin-tanaka-noticia/
29,La gran confusión de la política peruana,“La gran competencia democrática se da en el eje de las posiciones sociales”. ,https://elcomercio.pe/opinion/rincon-del-autor/la-gran-confusion-de-la-politica-peruana-por-rolando-arellano-noticia/
30,El colapso de la política de ideas, “La política como el espacio del poder ha perdido entre nosotros su naturaleza constructiva”.,https://elcomercio.pe/opinion/mirada-de-fondo/el-colapso-de-la-politica-de-ideas-por-fernando-tuesta-soldevilla-noticia/
31,Revivir a la ciudadanía,“La desafección política ha llegado a sus niveles más alarmantes en el país en medio de una actitud cínica de la ciudadanía que [....] solo busca...,https://elcomercio.pe/opinion/columnistas/revivir-a-la-ciudadania-por-maite-vizcarra-noticia/
32,A 60 años del bloqueo a Cuba que desató la Crisis de los Misiles: Así informó El Comercio,"Lima estaba en el radio de alcance de los proyectiles intermedios instalados por los rusos en la isla. El mundo, conmocionado, quedó al borde de ...",https://elcomercio.pe/archivo-elcomercio/a-60-anos-del-bloqueo-a-cuba-que-desato-la-crisis-de-los-misiles-asi-informo-el-comercio-john-f-kennedy-estados-unidos-union-sovietica-nnsp-noticia/
33,El abandono del Perú, “¿Cómo podemos explicarnos la apatía de los peruanos frente a lo que viene sucediendo?”,https://elcomercio.pe/opinion/columnistas/el-abandono-del-peru-por-maria-cecilia-villegas-noticia/
34,¿Cómo cambiamos Lima?,“Jóvenes: ¡su país los necesita! Y a sus aulas vamos por propuestas”.,https://elcomercio.pe/opinion/colaboradores/como-cambiamos-lima-por-karen-lopez-tello-noticia/
35,El victimismo en la política,“A muchos políticos les conviene que sus seguidores y adeptos se perciban a sí mismos como víctimas”.,https://elcomercio.pe/opinion/columnistas/el-victimismo-en-la-politica-por-javier-diaz-albertini-noticia/
36,Los antimineros una vez más,"“Desde el sector privado, nos hemos desentendido de la política, dejando vacío el espacio que nos corresponde en la discusión de la cosa pública”...",https://elcomercio.pe/opinion/columnistas/los-antimineros-una-vez-mas-por-maria-cecilia-villegas-noticia/
37,Donde habitan los monstruos,"“Estamos asistiendo al surgimiento y caída de líderes disforzados que, por más que lo intentan, no logran enganchar con la población”. ",https://elcomercio.pe/opinion/columnistas/donde-habitan-los-monstruos-por-patricia-del-rio-noticia/
38,Bailando con pañuelo propio,"“Queda por encontrar una fórmula para lograr la cooperación en la política, hoy hundida en el más extremo de los individualismos, a pesar de que,...",https://elcomercio.pe/opinion/columnistas/bailando-con-panuelo-propio-por-richard-webb-noticia/
39,La decadencia del horizonte peruano,“El Perú es una creación constante e incremental; un ensayo-error motivado en la búsqueda de un destino grandioso y común”. ,https://elcomercio.pe/opinion/columnistas/la-decandencia-del-horizonte-peruano-por-gonzalo-zegarra-mulanovich-noticia/
40,López Aliaga dice que Andrés Hurtado no tendrá participación en su gobierno municipal,"El empresario, de otro lado, afirmó que las sesiones del concejo metropolitano serán abiertas a la prensa. Refirió que tiene “un estilo distinto ...",https://elcomercio.pe/el-comercio-tv/entrevistas/lopez-aliaga-dice-que-andres-hurtado-no-tendra-participacion-en-su-gobierno-municipal-entrevistas-noticia/
41,"Rafael López Aliaga: “Del Ejecutivo no espero nada realmente, siempre le han negado a Lima presupuesto”","El empresario afirmó que priorizará las acciones a favor de la seguridad en los distritos “más pobres” de la capital. Además, cuestionó al presid...",https://elcomercio.pe/el-comercio-tv/entrevistas/rafael-lopez-aliaga-del-ejecutivo-no-espero-nada-realmente-siempre-le-han-negado-a-lima-presupuesto-entrevistas-noticia/
42,"“No vamos a llegar a aprender, sino a ejecutar, a hacer”","En entrevista con El Comercio, el virtual alcalde de Lima afirmó que priorizará a los distritos más pobres, al momento de ejecutar su plan de seg...",https://elcomercio.pe/el-comercio-tv/entrevistas/no-vamos-a-llegar-a-aprender-sino-a-ejecutar-a-hacer-entrevistas-noticia/
43,"Aceptaron a Digna Calle con su doblez, tendrán que mantenerla.","En su videocolumna “Cuéntame otra” de este viernes, Fernando Vivas se refiere al rechazo en el Congreso de la moción de censura contra la vicepre...",https://elcomercio.pe/el-comercio-tv/cuentame-otra/aceptaron-a-digna-calle-con-su-doblez-tendran-que-mantenerla-cuentame-otra-noticia/
44,Archipiélago archiconocido,"“Los resultados del domingo son, finalmente, un anticipo de lo que podría verse en breve, en caso se precipite un final que lleve a nuevos comici...",https://elcomercio.pe/opinion/mirada-de-fondo/archipielago-archiconocido-por-jose-carlos-requena-noticia/
45,"OEA: Qué es, cuándo se creó y qué evento se realizará en Perú esta semana",Nuestro país se viene preparando para ser el centro de atención a nivel mundial,https://elcomercio.pe/respuestas/cuando/que-es-la-oea-cuando-se-creo-y-que-evento-se-realizara-en-peru-esta-semana-asamblea-de-la-oea-revtli-tdex-noticia/
46,López Aliaga se dará cuenta que no es líder de oposición ni de Estado sino de un municipio acotado.,,https://elcomercio.pe/el-comercio-tv/cuentame-otra/lopez-aliaga-se-dara-cuenta-que-no-es-lider-de-oposicion-ni-de-estado-sino-de-un-municipio-acotado-cuentame-otra-noticia/
47,Giorgia Meloni: Conoce a lideresa de extrema derecha en Italia,Giorgia Meloni va camino de convertirse en la primera primera ministra de la historia de Italia y en su primera lideresa de extrema derecha desde...,https://elcomercio.pe/videos/global/italia-giorgia-meloni-ultra-derecha-hermanos-de-italia-benito-mussolin-nnav-agdw-video-noticia/
48,Octubre: En 1962 John F. Kennedy anuncia al mundo el bloqueo sobre Cuba por instalación de misiles soviéticos,"Además, en el año 1972 la selección de Sudamérica vence 2 a 0 a la de Europa con un gol de Teófilo Cubillas. Y en 2012 el austríaco Félix Baumgar...",https://elcomercio.pe/archivo-elcomercio/octubre-en-1962-john-f-kennedy-anuncia-al-mundo-el-bloqueo-sobre-cuba-por-instalacion-de-misiles-sovieticos-guerra-fria-union-sovietica-cuba-nnsp-noticia/
49,No al pragmatismo sin futuro,"“Si no mira hacia el futuro, la política terminará por autodestruirse”.",https://elcomercio.pe/opinion/colaboradores/no-al-pragmatismo-sin-futuro-por-santiago-pedraglio-noticia/
